"UniProt","name","direction","importance"
"P78318","IGBP1","down",0.140138165895614
"P58215","LOXL3","up",0.140138165895614
"Q9NS26","SPANXA","down",0.140138165895614
"Q6IA17","SIGIRR","up",0.140138165895614
"Q8WXD5","GEMI6","down",0.140138002016604
"Q9HCQ5","GALT9","down",0.139987287648088
"Q92804","RBP56","down",0.139890866878352
"P11362","bFGF-R","up",0.139841845873993
"P43652.1",NA,"up",0.139796633167607
"Q9BV40","VAMP8","up",0.139782169899948
"P0CG47","PolyUbiquitin K48","up",0.139690658922538
"P00747.1",NA,"down",0.139625639649205
"Q99LC4.59",NA,"up",0.139443225972487
"P63173","RL38","up",0.139432105202449
"P35558","PCKGC","down",0.139257399122627
"O95399","Urotensin-II","down",0.139257399122627
"P50406","5HT6R","up",0.139134076281644
"Q9UKY0","PRND","up",0.139102196257034
"Q92185","SIA8A","down",0.138879649515164
"O00206.Q9Y6Y9",NA,"up",0.138781291763916
"P26006.P05556",NA,"down",0.138742881005297
"Q13442","HAP28","down",0.13857501703814
"Q13882","PTK6","up",0.138526803335985
"O76083","PDE9A","up",0.138512276841843
"P47989","XDH","up",0.138247719026949
"O94973","AP2A2","down",0.138245087950458
"P55082","MFAP3","up",0.138214294983642
"O95238","SPDEF","down",0.138158546312888
"Q96DU3","SLAF6","up",0.137970948922822
"P54274","TERF1","up",0.137837212218308
"P45973","CBX5","down",0.137662658250573
"A8TX70","CO6A5","up",0.137401768127562
"O75023","LIRB5","down",0.137251584557356
"Q99933","BAG-1","up",0.137251584557355
"Q9NWU1","OXSM","up",0.137251584557355
"P19875.1",NA,"down",0.137251584557355
"P11766","ADHX","up",0.137158927045911
"Q86YM7","HOME1","down",0.137106062323026
"Q96BN8","OTUL","up",0.137104758980132
"O43240","kallikrein 10","up",0.137003301583349
"Q8N129","CNPY4","down",0.136930803879289
"Q9HCN4","GPN1","up",0.136930803879289
"P60660","Myosin light polypeptide 6","up",0.136844231359359
"Q99LC4.228",NA,"down",0.136790701897001
"P83859","OX26","up",0.13650563404825
"P22234","Multifunctional protein ADE2","up",0.136451532945633
"Q96EA4","SPDLY","up",0.136224356788074
"P42224","STAT1","down",0.136183896807282
"P42224.1",NA,"down",0.136183896807282
"O95388","WISP-1","up",0.136109228032927
"O43819","SCO2","down",0.136099711947644
"Q04756","HGFA","down",0.136077773860505
"O15197","EphB6","up",0.135716448836259
"P05106.P08514.1",NA,"up",0.135621194323677
"Q9UNE7","CHIP","down",0.135619756081757
"P09871.1",NA,"up",0.135603672618525
"Q92575","UBXN4:CD 2","up",0.1355703778664
"O95897.1",NA,"up",0.135401979488841
"Q9HAP6","LIN7B","down",0.135103418677549
"O60239","3BP5","up",0.135103418677549
"Q9ULW6","NP1L2","down",0.135074172031204
"O15503","INSI1","up",0.135020359773881
"Q86WK6.1",NA,"down",0.13499521868669
"P08138","NGF R","down",0.134931008196812
"Q15329","E2F5","down",0.134890345877521
"P43220.1",NA,"down",0.134845153447497
"Q9BT88","SYT11","up",0.134747981943087
"Q9NP55","PLUNC","down",0.134563594967832
"P21810.1",NA,"down",0.134495277116996
"Q5VT25","MRCKA","down",0.134380156261541
"Q13630","FCL","up",0.134167822334928
"O14727","Apaf-1","up",0.13415609345698
"O00746","NDKM","up",0.13398635143459
"P53602.1",NA,"up",0.133911431408139
