"protein","mi_median_ctrl","sel_freq_ctrl","mi_median_als","sel_freq_als","mi_median_nonals","sel_freq_nonals","mi_full_ctrl","mi_full_als","mi_full_nonals","delta_mi_median","delta_sel_freq","high_ctrl","high_als","high_nonals","category"
"P28065",0.0626195452862486,0.01,0.013854698732028,0,0.158153360927838,0,0.0578380902722837,0.006259430772102,0.127833523346262,-0.206918207482059,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P04406",0.062618922400377,0,0.0145398269911301,0,0.10766054031215,0,0.0372636279283047,0.00890747605448494,0.0396925139935216,-0.155739635721396,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P07108",0.0626162278466544,0,0.0111218040049899,0,0.1103211185039,0,0.0275510113249195,0.00335905363784983,0.105553035649953,-0.161815542345565,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9ULT6.1",0.0626099132067455,0.02,0.0172173211836748,0,0.123255337306304,0,0.0314308218800501,0.0117718050038222,0.0963085292015153,-0.168647929329375,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NS28",0.0626048555317518,0,0.0167427284595865,0,0.127043509779218,0,0.0171479127168577,0.00910914044387345,0.0461878409453567,-0.172905636851383,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96PX8",0.0626027962862286,0,0.0165786751548729,0,0.12474587047518,0,0.0699473450833676,0.00580421853085911,0.0461878409453564,-0.170769991606536,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NWW9",0.0626008953052055,0.02,0.00992874526737197,0,0.134070735856925,0,0.0206152603931584,0.00212866309929494,0.0844116869328726,-0.186742885894758,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P05161.1",0.0625970001285134,0.01,0.0177083800881801,0,0.119406521737879,0,0.0127279039754646,0.0111171242524355,0.0844116869328726,-0.164295141778212,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q99LC4.189",0.0625939123553922,0,0.0168344456940077,0.01,0.141133123195464,0,0.0129571941592119,0.0115929803252595,0.102803856153351,-0.186892589856848,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P05455",0.0625938844705194,0,0.0120224480610989,0,0.140314941796162,0.01,0.00743529611347249,0.00194063840476133,0.131937702137107,-0.190886378205582,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
